#--------------+
#  TRI FUSION  |
#--------------+
#
#+--------+-----------------------------+
#|        |           aleatoire           |
#| Taille | Opérations     Comparaisons |
#+ -------+--------------+--------------+
       1              0               0  
       2              2               3  
       3              0               3  
       4              4               8  
       5              7              12  
       6              9              17  
       7             11              21  
       8             11              26  
       9             21              35  
      10             14              38  
      11             34              53  
      12             32              59  
      13             37              67  
      14             40              77  
      15             38              83  
      16             60             103  
      17             46             105  
      18             56             119  
      19             58             128  
      20             81             153  
      21             63             153  
      22             52             159  
      23             76             184  
      24             75             196  
      25             91             215  
      26             80             225  
      27            122             258  
      28            131             280  
      29            161             307  
      30            108             297  
      31            126             321  
      32            136             343  
      33            128             355  
      34            123             371  
      35            122             388  
      36            243             469  
      37            158             442  
      38            203             485  
      39            201             504  
      40            219             533  
      41            213             552  
      42            206             569  
      43            218             596  
      44            248             633  
      45            218             641  
      46            244             680  
      47            255             708  
      48            275             741  
      49            270             762  
      50            308             809  
      51            276             816  
      52            366             893  
      53            320             892  
      54            353             936  
      55            357             968  
      56            418            1024  
      57            355            1025  
      58            313            1031  
      59            358            1083  
      60            377            1127  
      61            427            1181  
      62            392            1195  
      63            413            1240  
      64            435            1281  
      65            493            1340  
      66            469            1364  
      67            409            1366  
      68            490            1442  
      69            448            1454  
      70            446            1491  
      71            488            1550  
      72            739            1709  
      73            528            1642  
      74            638            1734  
      75            633            1766  
      76            639            1812  
      77            515            1790  
      78            622            1881  
      79            748            1981  
      80            631            1962  
      81            812            2098  
      82            644            2053  
      83            670            2111  
      84            715            2175  
      85            734            2224  
      86            681            2243  
      87            723            2306  
      88            674            2331  
      89            783            2425  
      90            813            2489  
      91            781            2514  
      92            807            2581  
      93            983            2712  
      94            830            2682  
      95            817            2721  
      96            733            2730  
      97            871            2850  
      98            961            2944  
      99            810            2919  
     100            875            3001  
     101            855            3038  
     102           1059            3193  
     103           1080            3254  
     104           1060            3299  
     105           1089            3367  
     106           1102            3420  
     107            924            3394  
     108           1163            3565  
     109            890            3479  
     110           1127            3658  
     111           1128            3714  
     112           1130            3773  
     113           1229            3876  
     114            988            3817  
     115           1029            3892  
     116           1066            3969  
     117           1019            4002  
     118           1189            4142  
     119           1212            4221  
     120           1335            4339  
     121           1337            4406  
     122           1407            4499  
     123           1290            4501  
     124           1253            4545  
     125           1375            4667  
     126           1312            4700  
     127           1329            4770  
     128           1287            4819  
     129           1389            4929  
     130           1385            4999  
     131           1696            5214  
     132           1449            5163  
     133           1596            5301  
     134           1677            5413  
     135           1509            5393  
     136           1450            5435  
     137           1628            5593  
     138           1424            5556  
     139           1657            5743  
     140           1765            5872  
     141           1521            5815  
     142           1810            6039  
     143           1553            5982  
     144           1856            6203  
     145           1934            6315  
     146           1549            6197  
     147           1790            6387  
     148           1666            6399  
     149           1786            6537  
     150           1532            6483  
     151           1743            6659  
     152           1908            6821  
     153           2447            7170  
     154           1682            6861  
     155           2348            7272  
     156           2177            7271  
     157           1951            7236  
     158           1911            7294  
     159           1921            7372  
     160           2047            7523  
     161           2024            7593  
     162           2135            7729  
     163           2304            7896  
     164           2226            7937  
     165           1995            7903  
     166           1992            7987  
     167           2481            8316  
     168           2362            8339  
     169           2470            8482  
     170           2272            8468  
     171           2788            8806  
     172           2424            8711  
     173           2575            8877  
     174           2680            9011  
     175           2470            9001  
     176           3165            9434  
     177           2798            9340  
     178           2473            9267  
     179           2451            9347  
     180           2518            9468  
     181           2256            9425  
     182           2384            9584  
     183           2415            9697  
     184           3105           10133  
     185           2482            9912  
     186           2679           10100  
     187           2894           10308  
     188           2508           10205  
     189           2806           10447  
     190           2703           10497  
     191           2720           10602  
     192           3150           10910  
     193           2993           10931  
     194           2992           11027  
     195           2936           11092  
     196           3166           11308  
     197           3015           11329  
     198           3588           11720  
     199           2975           11513  
     200           3707           11975  
     201           2679           11567  
     202           2834           11749  
     203           3410           12135  
     204           3129           12098  
     205           3543           12406  
     206           2831           12151  
     207           3251           12465  
     208           3282           12589  
     209           3534           12820  
     210           2638           12474  
     211           3737           13128  
     212           3356           13044  
     213           3612           13283  
     214           4355           13761  
     215           3273           13331  
     216           3687           13646  
     217           3374           13595  
     218           3481           13758  
     219           3563           13909  
     220           3577           14024  
     221           3844           14273  
     222           3751           14339  
     223           3829           14486  
     224           3331           14348  
     225           3978           14790  
     226           3818           14816  
     227           3821           14931  
     228           4111           15195  
     229           3929           15213  
     230           3768           15252  
     231           3139           15048  
     232           3870           15536  
     233           3568           15501  
     234           3927           15802  
     235           3777           15845  
     236           4141           16144  
     237           4674           16522  
     238           4292           16461  
     239           3823           16342  
     240           4764           16932  
     241           3843           16599  
     242           4385           16982  
     243           4731           17279  
     244           4568           17320  
     245           5355           17836  
     246           4955           17760  
     247           4363           17594  
     248           4957           18012  
     249           4281           17790  
     250           4267           17915  
     251           4389           18100  
     252           4730           18401  
     253           4364           18344  
     254           5575           19077  
     255           4521           18673  
     256           4860           18974  
     257           4465           18907  
     258           4832           19220  
     259           5044           19451  
     260           5686           19905  
     261           6000           20194  
     262           4818           19736  
     263           5325           20114  
     264           4943           20054  
     265           5524           20486  
     266           5555           20631  
     267           5426           20700  
     268           6160           21205  
     269           6479           21499  
     270           5727           21265  
     271           4368           20710  
     272           5479           21404  
     273           5446           21528  
     274           6171           22027  
     275           6180           22169  
     276           5286           21866  
     277           5790           22247  
     278           5384           22184  
     279           5766           22513  
     280           4934           22242  
     281           5917           22868  
     282           6012           23062  
     283           6018           23206  
     284           6798           23732  
     285           5186           23074  
     286           5391           23318  
     287           5601           23573  
